Ensembl,Healthy_1,Healthy_2,Healthy_3,Healthy_4
ENSG00000254685,32,30,22,6
ENSG00000259030,10,7,0,8
ENSG00000116783,4,3,0,0
ENSG00000178965,0,0,0,1
ENSG00000116791,585,535,1120,1107
ENSG00000162623,34,44,121,66
ENSG00000137968,5,8,12,0
ENSG00000117054,719,712,385,427
ENSG00000137955,124,103,102,65
ENSG00000057468,0,0,0,0
ENSG00000184005,0,0,3,31
ENSG00000117069,0,0,0,0
ENSG00000142892,4,8,153,77
ENSG00000154027,2,1,0,0
ENSG00000036549,49,45,42,88
ENSG00000077254,173,125,94,106
ENSG00000180488,91,94,80,94
ENSG00000162614,17,14,0,11
ENSG00000162613,252,217,334,118
ENSG00000162616,32,31,122,63
ENSG00000137960,67,70,53,140
ENSG00000122420,0,0,2,12
ENSG00000137959,38,34,3,67
ENSG00000137965,15,16,20,91
ENSG00000162618,44,37,103,64
ENSG00000117114,4,10,133,192
ENSG00000137941,82,90,52,25
ENSG00000142875,96,94,88,134
ENSG00000203943,92,79,0,0
ENSG00000137976,0,0,0,0
ENSG00000117133,66,70,81,58
ENSG00000174021,88,86,690,502
ENSG00000117151,165,202,200,190
ENSG00000117155,9,2,28,12
ENSG00000171517,9,7,0,1
ENSG00000153898,3,5,1,0
ENSG00000162643,0,0,0,0
ENSG00000055732,6,1,0,0
ENSG00000097096,183,159,5,35
ENSG00000162642,47,46,102,13
ENSG00000142867,25,20,63,28
ENSG00000153904,583,577,431,460
ENSG00000142871,37,31,486,31
ENSG00000117174,29,36,89,12
ENSG00000171502,0,0,0,0
ENSG00000122417,280,263,71,88
ENSG00000016602,0,0,0,0
ENSG00000097033,86,79,329,157
ENSG00000183291,110,92,588,211
ENSG00000153936,40,45,90,50
ENSG00000267561,7,6,47,27
ENSG00000143013,64,48,228,107
ENSG00000065243,114,102,15,49
ENSG00000137947,128,112,98,52
ENSG00000137944,7,8,69,46
ENSG00000213516,87,75,55,45
ENSG00000117226,32,19,54,21
ENSG00000117228,199,194,193,115
