Ensembl,Symbol,Disease_1,Disease_2,Disease_3
ENSG00000198399,ITSN2,131,134,97
ENSG00000084676,NCOA1,83,70,115
ENSG00000184924,PTRHD1,95,80,107
ENSG00000138092,CENPO,45,56,60
ENSG00000138031,ADCY3,36,32,1
ENSG00000115137,DNAJC27,4,6,14
ENSG00000084710,EFR3B,6,5,6
ENSG00000115138,POMC,0,0,0
ENSG00000119772,DNMT3A,129,237,156
ENSG00000138101,DTNB,55,42,40
ENSG00000143970,ASXL2,98,93,81
ENSG00000084731,KIF3C,0,0,3
ENSG00000084733,RAB10,175,157,149
ENSG00000157833,GAREM2,4,5,26
ENSG00000084754,HADHA,734,640,404
ENSG00000138029,HADHB,701,589,348
ENSG00000173567,ADGRF3,1,2,0
ENSG00000138018,SELENOI,236,212,100
ENSG00000173557,C2orf70,0,0,0
ENSG00000171303,KCNK3,12,7,12
ENSG00000213699,SLC35F6,196,159,321
ENSG00000115163,CENPA,9,3,12
ENSG00000157851,DPYSL5,8,7,3
ENSG00000084764,MAPRE3,19,6,11
ENSG00000119777,TMEM214,413,334,373
ENSG00000084693,AGBL5,611,555,454
ENSG00000228474,OST4,1155,958,817
ENSG00000138080,EMILIN1,44,35,1
ENSG00000138030,KHK,3633,3002,3795
ENSG00000138028,CGREF1,1737,1403,1937
ENSG00000143994,ABHD1,29,29,40
ENSG00000138073,PREB,399,334,353
ENSG00000163792,TCF23,20,24,30
ENSG00000138074,SLC5A6,138,123,184
ENSG00000138085,ATRAID,338,255,279
ENSG00000084774,CAD,74,60,170
ENSG00000115194,SLC30A3,2,3,7
ENSG00000163793,DNAJC5G,0,0,5
ENSG00000138100,TRIM54,0,4,0
ENSG00000163794,UCN,7,9,2
ENSG00000115204,MPV17,231,194,250
ENSG00000115207,GTF3C2,58,63,142
ENSG00000115211,EIF2B4,165,130,161
ENSG00000115234,SNX17,370,338,354
ENSG00000163795,ZNF513,98,84,149
ENSG00000115241,PPM1G,157,114,193
ENSG00000115216,NRBP1,213,191,265
ENSG00000157992,KRTCAP3,13,17,5
ENSG00000138002,IFT172,46,31,31
ENSG00000115226,FNDC4,495,388,175
ENSG00000084734,GCKR,513,427,99
ENSG00000221843,C2orf16,47,36,0
ENSG00000243943,ZNF512,16,16,63
ENSG00000176714,CCDC121,8,8,1
ENSG00000198522,GPN1,95,66,30
ENSG00000119760,SUPT7L,143,117,67
ENSG00000163798,SLC4A1AP,71,79,122
ENSG00000243147,MRPL33,122,75,77
ENSG00000171174,RBKS,162,106,68
ENSG00000158019,BABAM2,84,60,51
ENSG00000075426,FOSL2,97,85,29
ENSG00000163803,PLB1,21,12,8
ENSG00000213639,PPP1CB,368,274,273
ENSG00000163806,SPDYA,25,32,33
ENSG00000171103,TRMT61B,59,50,52
ENSG00000163811,WDR43,88,107,88
ENSG00000189350,TOGARAM2,75,42,54
ENSG00000115295,CLIP4,5,5,2
ENSG00000171094,ALK,0,1,0
ENSG00000119801,YPEL5,134,130,144
ENSG00000213626,LBH,21,19,13
ENSG00000172954,LCLAT1,131,114,84
ENSG00000162949,CAPN13,1,1,0
ENSG00000158089,GALNT14,0,0,0
ENSG00000013016,EHD3,176,142,24
ENSG00000158125,XDH,449,391,197
ENSG00000277893,SRD5A2,370,313,15
ENSG00000162959,MEMO1,47,54,176
ENSG00000162961,DPY30,282,239,211
ENSG00000021574,SPAST,62,33,46
ENSG00000152683,SLC30A6,78,60,75
ENSG00000091106,NLRC4,1,1,2
ENSG00000119820,YIPF4,255,192,306
ENSG00000115760,BIRC6,396,322,386
ENSG00000018699,TTC27,9,10,2
ENSG00000049323,LTBP1,308,249,548
ENSG00000152689,RASGRP3,66,44,56
ENSG00000119812,FAM98A,70,69,58
ENSG00000150938,CRIM1,59,43,25
ENSG00000171055,FEZ2,124,111,40
ENSG00000205221,VIT,0,0,0
ENSG00000115808,STRN,56,35,59
ENSG00000008869,HEATR5B,142,119,103
ENSG00000152133,GPATCH11,24,17,14
ENSG00000055332,EIF2AK2,99,85,147
ENSG00000138068,SULT6B1,0,1,0
ENSG00000218739,CEBPZOS,155,139,109
ENSG00000115816,CEBPZ,155,142,93
ENSG00000003509,NDUFAF7,51,49,18
ENSG00000115825,PRKD3,63,49,68
ENSG00000115828,QPCT,2,5,8
ENSG00000163171,CDC42EP3,56,26,24
ENSG00000115841,RMDN2,57,64,17
ENSG00000138061,CYP1B1,99,68,15
ENSG00000119787,ATL2,108,107,68
ENSG00000143889,HNRNPLL,35,27,107
ENSG00000143891,GALM,283,240,188
ENSG00000115875,SRSF7,265,232,186
ENSG00000152147,GEMIN6,67,47,91
ENSG00000163214,DHX57,20,18,33
ENSG00000188010,MORN2,28,27,9
ENSG00000214694,ARHGEF33,1,3,0
ENSG00000115904,SOS1,126,95,169
ENSG00000205111,CDKL4,0,0,0
ENSG00000011566,MAP4K3,76,73,79
ENSG00000152154,TMEM178A,36,19,26
ENSG00000138050,THUMPD2,18,15,29
