Ensembl,Disease_1,Disease_2,Disease_3
ENSG00000240038,80,63,9
ENSG00000243480,18,16,4
ENSG00000237763,6,8,4
ENSG00000174876,15,9,0
ENSG00000187733,13,4,0
ENSG00000198890,23,17,4
ENSG00000162631,0,1,0
ENSG00000134215,18,17,2
ENSG00000085491,2,1,7
ENSG00000196427,0,0,0
ENSG00000186086,0,0,3
ENSG00000162636,10,11,23
ENSG00000162639,7,6,5
ENSG00000134186,169,143,133
ENSG00000143107,0,0,0
ENSG00000116266,49,48,39
ENSG00000162641,2,6,7
ENSG00000274068,1,2,0
ENSG00000121957,123,94,84
ENSG00000121940,103,86,96
ENSG00000085433,16,13,17
ENSG00000197780,65,68,26
ENSG00000215717,96,67,72
ENSG00000116299,47,35,30
ENSG00000031698,252,236,223
ENSG00000143126,112,76,13
ENSG00000134222,28,15,21
ENSG00000221986,0,0,0
ENSG00000134243,210,206,157
ENSG00000143106,308,267,135
ENSG00000143028,44,40,0
ENSG00000162650,6,5,6
ENSG00000174151,10,14,12
ENSG00000181754,31,20,10
ENSG00000156097,0,0,0
ENSG00000065135,276,230,131
ENSG00000134183,0,0,7
ENSG00000116337,135,143,122
ENSG00000168765,902,738,28
ENSG00000213366,1292,1116,39
ENSG00000134184,2776,2423,23
ENSG00000134201,121,100,0
ENSG00000134202,59,55,27
